,Vmag
5,12.31
16,11.71
17,11.03
36,10.44
40,10.61
46,10.78
52,10.96
53,10.57
64,11.0
69,10.42
84,10.62
93,10.1
95,10.46
110,11.28
111,10.76
126,10.86
131,10.62
138,10.03
143,10.35
147,11.26
150,10.02
164,10.16
190,12.43
199,10.32
211,10.24
225,10.3
239,10.81
251,10.3
262,12.04
272,11.14
306,11.55
319,12.14
330,10.8
337,10.66
343,10.66
349,10.37
351,10.42
352,11.63
370,10.82
389,11.67
454,11.99
463,12.04
479,10.07
480,10.15
488,10.38
522,12.17
527,10.13
534,10.07
537,10.95
542,10.3
548,11.55
550,10.92
551,10.51
560,11.79
563,10.18
569,12.19
570,10.24
574,10.41
585,10.52
591,10.97
594,10.28
642,10.1
664,10.26
665,10.16
685,10.73
702,11.01
713,10.24
716,10.52
730,11.65
732,10.37
736,11.73
748,10.63
754,11.26
779,10.15
787,10.05
793,11.18
809,10.07
821,10.65
825,10.05
886,10.16
895,10.86
896,11.55
899,10.35
905,10.75
909,11.8
931,10.03
989,10.58
990,10.05
1004,11.67
1008,10.07
1013,10.72
1019,10.78
1032,10.51
1034,10.54
1039,10.59
1042,10.74
1043,10.1
1048,11.44
1053,10.41
1057,10.01
1058,10.68
1066,12.49
1075,10.24
1078,10.88
1080,10.68
1081,10.77
1090,11.14
1092,10.96
1126,10.11
1134,10.25
1143,10.2
1157,10.17
1180,11.83
1181,10.22
1185,10.04
1220,10.55
1222,10.36
1225,11.67
1238,10.66
1240,11.49
1259,10.44
1261,10.83
1276,11.58
1278,10.42
1280,10.37
1294,11.79
1306,11.06
1320,12.38
1332,10.01
1342,10.04
1369,10.51
1371,10.18
1372,10.67
1384,11.54
1385,10.07
1387,10.51
1396,11.36
1397,11.3
1401,10.83
1404,12.12
1405,11.3
1407,10.42
1410,10.99
1416,10.4
1417,10.43
1421,10.01
1436,12.22
1441,11.03
1457,10.22
1460,10.88
1483,11.26
1509,11.61
1510,10.27
1511,10.38
1513,10.12
1521,10.3
1538,10.93
1544,12.46
1566,10.3
1605,11.67
1613,10.48
1614,11.25
1656,10.98
1675,10.86
1684,10.06
1693,10.41
1700,11.58
1710,10.41
1717,12.21
1724,10.91
1731,11.16
1734,10.28
1768,11.21
1771,11.19
1781,10.54
1799,10.8
1805,10.38
1814,10.11
1833,10.93
1839,11.87
1843,11.07
1845,11.0
1853,10.75
1857,11.31
1863,10.66
1865,10.01
1869,10.57
1878,10.78
1882,10.6
1892,10.76
1898,10.71
1907,11.33
1917,10.35
1919,10.36
1944,10.4
1954,10.63
1962,10.24
1963,10.04
1965,10.78
1968,10.39
1972,10.5
1990,11.26
1992,10.25
2001,10.42
2027,10.71
2028,10.68
2039,10.02
2061,10.56
2062,10.48
2064,11.28
2088,10.41
2095,10.08
2099,10.05
2107,10.68
2116,10.52
2117,10.38
2127,10.22
2135,10.3
2136,10.13
2144,10.41
2156,10.14
2162,10.05
2168,10.19
2198,11.59
2230,10.05
2252,10.28
2258,10.14
2290,11.37
2292,10.22
2296,10.48
2307,10.68
2314,11.06
2324,10.11
2328,11.01
2358,10.21
2361,10.1
2367,12.22
2370,10.68
2372,10.3
2379,10.9
2384,11.27
2388,12.25
2407,12.07
2409,10.69
2421,10.01
2423,10.63
2435,10.26
2440,10.63
2452,10.99
2455,12.38
2457,10.38
2461,10.4
2474,10.07
2489,10.99
2496,12.41
2526,10.34
2527,10.5
2547,10.14
2550,10.27
2586,10.71
2593,11.65
2596,10.08
2597,10.27
2601,10.94
2614,10.23
2619,10.21
2631,11.35
2636,10.02
2641,11.11
2652,11.42
2655,10.34
2667,10.36
2672,10.42
2673,10.11
2677,11.25
2684,10.39
2717,10.19
2719,10.02
2736,10.42
2764,10.38
2781,10.85
2803,10.78
2820,10.85
2824,10.52
2825,11.26
2827,11.04
2831,10.45
2836,11.21
2839,10.1
2881,10.11
2888,10.1
2908,10.78
2911,10.52
2921,10.2
2922,10.09
2940,10.33
3005,10.48
3010,10.88
3020,10.07
3058,11.66
3059,11.0
3070,10.79
3097,10.03
3110,11.19
3118,10.5
3121,10.75
3123,10.22
3140,11.41
3141,10.05
3158,11.49
3170,10.2
3183,11.1
3210,11.27
3240,10.84
3247,10.67
3253,11.64
3258,10.58
3274,10.71
3277,10.99
3279,10.7
3288,11.02
3294,11.14
3302,10.45
3303,12.2
3306,10.05
3314,10.45
3324,10.14
3326,11.17
3358,10.32
3359,10.37
3375,11.55
3378,10.47
3384,10.22
3391,10.09
3397,10.12
3398,10.52
3412,10.11
3416,10.62
3425,10.97
3427,10.2
3428,10.3
3431,10.57
3436,10.02
3443,12.1
3457,12.01
3464,10.11
3466,10.57
3471,10.37
3482,10.23
3490,10.74
